socialMedia,time,count
twitter_status,2020-08-31,9
twitter_status,2020-10-04,8
twitter_status,2020-09-28,45
twitter_status,2020-09-27,44
twitter_status,2020-10-02,11
twitter_status,2020-09-29,11
twitter_status,2020-10-05,9
twitter_status,2020-10-09,123
twitter_status,2020-10-15,8
twitter_status,2020-10-23,18
twitter_status,2020-10-29,12
twitter_status,2020-11-05,8
twitter_status,2020-11-06,56
twitter_status,2020-11-12,35
twitter_status,2020-11-13,40
twitter_status,2020-11-19,4
twitter_status,2020-11-21,8
twitter_status,2020-11-24,46
twitter_status,2020-11-26,7
twitter_status,2020-11-23,8
twitter_status,2020-12-04,5
twitter_status,2020-12-03,8
twitter_status,2020-11-30,4
twitter_status,2020-12-12,4
twitter_status,2020-12-13,7
twitter_status,2020-12-25,5
twitter_status,2020-12-30,22
twitter_status,2020-01-05,8
twitter_status,2020-01-04,7
twitter_status,2020-01-03,2
twitter_status,2020-01-02,2
twitter_status,2020-01-08,3
twitter_status,2020-01-06,1
twitter_status,2020-01-09,1
twitter_status,2020-01-17,16
twitter_status,2020-01-16,4
twitter_status,2020-01-15,3
twitter_status,2020-01-12,4
twitter_status,2020-01-11,13
twitter_status,2020-01-13,9
twitter_status,2020-01-10,7
twitter_status,2020-01-25,6
twitter_status,2020-01-24,9
twitter_status,2020-01-27,3
twitter_status,2020-01-26,3
twitter_status,2020-01-20,3
twitter_status,2020-01-22,4
twitter_status,2020-01-19,1
twitter_status,2020-01-23,1
twitter_status,2020-02-04,2
twitter_status,2020-01-31,3
twitter_status,2020-01-29,2
twitter_status,2020-02-13,2
twitter_status,2020-02-14,5
twitter_status,2020-02-09,5
twitter_status,2020-02-10,1
twitter_status,2020-02-06,3
twitter_status,2020-02-08,6
twitter_status,2020-02-07,2
twitter_status,2020-02-20,3
twitter_status,2020-02-19,5
twitter_status,2020-02-22,3
twitter_status,2020-02-21,1
twitter_status,2020-02-23,1
twitter_status,2020-03-03,6
twitter_status,2020-03-01,40
twitter_status,2020-02-29,2
twitter_status,2020-02-27,1
twitter_status,2020-02-24,62
twitter_status,2020-02-26,4
twitter_status,2020-02-25,1
twitter_status,2020-02-28,1
